state,rank,payer,payer_slug,as_reported,parent_org,payer_kind,lobs,approx_share_pct,share_basis,notes
AL,7,Wellcare (Centene),wellcare,Wellcare,Centene Corporation,medicare_advantage,medicare_advantage,,unverified: model knowledge — MA presence in AL; no Medicaid MCO line exists in AL (state is FFS),MA-only relevance in Alabama (standalone PDP excluded per scope).
AL,8,Devoted Health,devoted-health,,"Devoted Health, Inc.",medicare_advantage,medicare_advantage,,Presence verified (Devoted Health Insurance Company of Alabama in 2025 AL MA carrier list); fast national grower (KFF 2026 enrollment update); AL enrollment unverified,Rapidly growing MA entrant; nationally more than doubled membership in 2026 open enrollment.
AL,9,TRICARE East (Humana Military),tricare-east,Humana Military (TRICARE East Region),Humana Inc.,tricare,tricare,,"unverified: model knowledge — Alabama sits in TRICARE East under Humana Military (T-5 contract, 2025)","Large military/dependent population around Redstone Arsenal, Maxwell AFB, Fort Novosel. Credentialing routes through Humana Military network vendors."
AL,10,Simpra Advantage,simpra-advantage,,Simpra Advantage Inc.,medicare_advantage,medicare_advantage,,Presence verified in 2025 AL MA carrier list; small enrollment — unverified: model knowledge,Small AL-domiciled MA (I-SNP focused). Rounds out a thin field — after BCBS AL the AL market drops off steeply.
AR,1,Arkansas Blue Cross and Blue Shield (USAble Mutual),arkansas-blue-cross-and-blue-shield,,USAble Mutual Insurance Company,commercial,commercial|medicare_advantage|managed_medicaid,45,"Commercial market share, AMA Competition in Health Insurance study 2024 (2023 data), via Becker's summary",Dominant commercial carrier; also a major ARHOME QHP carrier (Medicaid expansion lives) and MA (BlueMedicare). Health Advantage is its HMO affiliate — often a separate credentialing contract.
AR,2,Ambetter from Arkansas Health & Wellness (Centene),ambetter-from-arkansas-health-and-wellness,,Centene Corporation,commercial,commercial|managed_medicaid,,"Verified as one of the two active ARHOME QHP carriers (humanservices.arkansas.gov, 2025; ~188k ARHOME QHP lives split with ABCBS); exact split unverified","Marketplace/ARHOME book makes Centene a top-2 covered-lives player; sister brands Arkansas Total Care (PASSE), Wellcare (MA), and QualChoice are separate Centene entities in AR."
AR,3,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — #2/#3 commercial (largely ASO incl. UMR) and a leading AR MA carrier,Commercial ASO plus MA.
AR,4,Arkansas Total Care (Centene),arkansas-total-care,,Centene Corporation,medicaid_mco,managed_medicaid,,"Verified PASSE organization (humanservices.arkansas.gov, 2025); PASSE enrollment split unverified: model knowledge",One of four full-risk PASSE plans for BH/IDD populations; also holds other AR Medicaid specialty contracts.
AR,5,Summit Community Care (Elevance Health),summit-community-care,,Elevance Health (Anthem),medicaid_mco,managed_medicaid,,"Verified PASSE organization (humanservices.arkansas.gov / summitcommunitycare.com, 2025); enrollment unverified",Elevance's local AR Medicaid brand (PASSE).
AR,6,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage|tricare,,unverified: model knowledge — among the largest AR MA carriers; Humana Military runs TRICARE East which includes Arkansas,Primarily MA in Arkansas.
AR,7,QualChoice (Centene),qualchoice,,Centene Corporation,commercial,commercial,,unverified: model knowledge — Little Rock-based commercial carrier acquired by Centene (2019); ARHOME participation has wound down to ABCBS + Ambetter per DHS materials (2025),Legacy regional commercial book; confirm current line-of-business status at contracting time — footprint has been shrinking under Centene.
AR,8,Empower Healthcare Solutions,empower-healthcare-solutions,,Provider-led consortium (incl. Beacon/Carelon heritage partners),medicaid_mco,managed_medicaid,,"Verified PASSE organization (humanservices.arkansas.gov, 2025); enrollment unverified",Provider-owned PASSE.
AR,9,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,"unverified: model knowledge — ASO for large AR employers (Walmart HQ ecosystem, Tyson et al. vary by year); no local plan entity",Self-funded administration; network via national contracts.
AR,10,CareSource PASSE,caresource-passe,,CareSource (with Arkansas provider partners),medicaid_mco,managed_medicaid,,"Verified as the fourth PASSE organization (humanservices.arkansas.gov, 2025); newest entrant, enrollment unverified",Newest PASSE; also note Wellcare (Centene) and Aetna (CVS) hold smaller AR MA books just outside this top 10.
AZ,1,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,AMA Competition study 2024 (2023 data): largest statewide commercial insurer in AZ and MA leader in Phoenix and Tucson metros (verified via Hertel Report summary),"Only carrier leading all three big lines: commercial (Phoenix + Tucson), MA (largest AZ plan = AARP MA Plan 2 per Mark Farrah 2026), and AHCCCS (UHC Community Plan/APIPA incl. ALTCS)."
AZ,2,Blue Cross Blue Shield of Arizona,blue-cross-blue-shield-of-arizona,,Blue Cross Blue Shield of Arizona (independent licensee),commercial,commercial|medicare_advantage|managed_medicaid,,"AMA 2024 (2023 data): #2 statewide commercial, #1 PPO enrollment and leader in most non-metro regions (Flagstaff, Yuma, Prescott, etc.) — verified via Hertel Report summary","Owns Health Choice Arizona, a major AHCCCS ACC plan; Blue Medicare Advantage Classic is a top-4 AZ MA plan (Mark Farrah 2026)."
AZ,3,Mercy Care,mercy-care,,Aetna/CVS Health (administered); sponsored by CommonSpirit/Ascension heritage partners,medicaid_mco,managed_medicaid|medicare_advantage,,Verified as an ACC + ALTCS + RBHA contractor (azahcccs.gov 2025); widely reported as the largest single AHCCCS plan — enrollment figure unverified: model knowledge,"Not-for-profit local brand administered by Aetna; holds ACC, ALTCS-EPD, DD, and behavioral-health contracts; Mercy Care Advantage is its aligned D-SNP. Credential separately from commercial Aetna."
AZ,4,Aetna (CVS Health),aetna,Aetna,CVS Health,commercial,commercial|medicare_advantage,,AMA 2024 (2023 data): meaningful #2/#3 commercial role in urban AZ; led the AZ ACA exchange in 2024 (verified via Hertel Report summary). Banner|Aetna JV exited the Marketplace for 2026.,"Commercial fully-insured + ASO + MA, distinct from the Mercy Care Medicaid book it administers."
AZ,5,Arizona Complete Health (Centene),arizona-complete-health,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,Verified ACC + ALTCS contractor (azahcccs.gov 2025); Centene leads MA share in Sierra Vista/Douglas and co-leads Yuma (AMA 2024 via Hertel Report). Enrollment unverified.,"Centene's flagship AZ entity: AHCCCS ACC plan (southern AZ strength), Ambetter marketplace, and Wellcare/Allwell MA. Sister Centene plan Care1st Health Plan Arizona holds a separate ACC contract (central/north AZ) — credential each entity separately."
AZ,6,Banner Health Plans,banner-health-plans,,Banner Health,medicaid_mco,managed_medicaid|medicare_advantage|commercial,,"Banner–University Family Care verified as ACC + ALTCS contractor (azahcccs.gov, Oct 2025); Banner co-leads Yuma MA (AMA 2024). Enrollment unverified.","Provider-owned (Banner/University of Arizona). Medicaid ACC + ALTCS, D-SNP, and MA products tied to the Banner delivery network."
AZ,7,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage|commercial,,AMA 2024 (2023 data): #2 MA statewide behind UHC; leads MA in Lake Havasu City/Kingman (verified via Hertel Report). Humana Gold Plus is a top-4 AZ MA plan (Mark Farrah 2026).,Predominantly MA in Arizona; small group commercial legacy only.
AZ,8,Cigna Healthcare,cigna-healthcare,,The Cigna Group (legacy Medicare book now HCSC),commercial,commercial|medicare_advantage,,"Cigna HealthSpring Alliance Medicare (now under HCSC) verified as a top-4 AZ MA plan by enrollment (Mark Farrah, Feb 2026 CMS data); commercial ASO book unverified: model knowledge",Long-standing Phoenix Medicare franchise (staff-model heritage); Medicare plans transferred to HCSC in 2025 — two distinct credentialing relationships now.
AZ,9,Molina Healthcare of Arizona,molina-healthcare-of-arizona,,"Molina Healthcare, Inc.",medicaid_mco,managed_medicaid|commercial|medicare_advantage,,Verified ACC contractor (azahcccs.gov 2025); entered AZ via Affinity/Cigna Medicaid asset purchase — enrollment unverified: model knowledge,AHCCCS ACC plan plus Marketplace and D-SNP.
AZ,10,Care1st Health Plan Arizona (Centene),care1st-health-plan-arizona,,Centene Corporation (WellCare family),medicaid_mco,managed_medicaid,,Verified ACC contractor on the AHCCCS health-plan list (azahcccs.gov 2024-2025); enrollment unverified: model knowledge,Separate Centene-owned ACC plan serving central/northern GSAs; distinct contracting/credentialing from Arizona Complete Health.
CA,1,Kaiser Permanente California,kaiser-permanente-california,Kaiser Permanente (Kaiser Foundation Health Plan),"Kaiser Foundation Health Plan, Inc.",commercial,commercial|medicare_advantage|managed_medicaid,,CHCF California Health Insurers Enrollment Almanac 2025: largest insurer in the state (~9M+ CA lives across lines); exact statewide-share % not restated here,Closed integrated model — external providers generally don't credential into Kaiser networks except via contracted medical groups; still the single largest CA payer and #1 CA MA plan. Direct statewide Medi-Cal contract since 2024.
CA,2,Anthem Blue Cross of California (Elevance),anthem-blue-cross-of-california,Anthem Blue Cross (Elevance Health),Elevance Health,commercial,commercial|medicare_advantage|managed_medicaid,13,"Share of overall CA enrollment, CHCF Enrollment Almanac 2025 (as summarized in search results); reflects combined-lines enrollment share",The CA Blue Cross licensee (Blue Shield is separate). Large commercial ASO/PPO plus one of the biggest commercial Medi-Cal books (2024 procurement winner) and MA.
CA,3,Blue Shield of California,blue-shield-of-california,,Blue Shield of California (nonprofit; independent licensee),commercial,commercial|medicare_advantage|managed_medicaid,,"CHCF Enrollment Almanac 2025: top-3 CA insurer (~4.8M members per plan reporting); statewide % not verified precisely — the 31% figure in one summary appears segment-specific, not used",Separate company from Anthem Blue Cross — dual-Blues state. Blue Shield Promise carries the Medicaid/D-SNP book (2024 Medi-Cal procurement winner).
CA,4,Health Net (Centene),health-net,,Centene Corporation,medicaid_mco,managed_medicaid|commercial|medicare_advantage,,"unverified precise count: model knowledge (~3M CA lives, majority Medi-Cal); Medi-Cal contract status verified (DHCS 2024 procurement winner; LA subcontract with Molina verified)","Centene's CA flagship: large Medi-Cal book (LA and Central Valley; administers CalViva), Covered California/Ambetter-equivalent individual, employer groups, MA."
CA,5,L.A. Care Health Plan,l-a-care-health-plan,,Local Initiative Health Authority for Los Angeles County (public agency),medicaid_mco,managed_medicaid|commercial,,"~2.5M members, verified (lacare.org, 2025) — largest publicly operated health plan in the US",LA County local-initiative Medi-Cal plan + L.A. Care Covered marketplace + D-SNP. Delegates heavily to IPAs/medical groups — credentialing usually flows through delegated groups.
CA,6,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — top-tier national ASO book for CA-based employers plus significant MA; no Medi-Cal contract,Mostly self-funded commercial + MA; owns Optum medical groups in CA (separate from payer credentialing).
CA,7,Inland Empire Health Plan (IEHP),inland-empire-health-plan,,Public entity (Riverside & San Bernardino counties JPA),medicaid_mco,managed_medicaid|commercial,,"~1.5M members, verified (2025 sources)",Two-county public Medi-Cal plan; among the largest Medicaid plans in the nation; added Covered California product (IEHP Covered) and D-SNP.
CA,8,Molina Healthcare of California,molina-healthcare-of-california,,"Molina Healthcare, Inc.",medicaid_mco,managed_medicaid|commercial|medicare_advantage,,Medi-Cal 2024 procurement winner + LA subcontract (~50% of Health Net's LA Medi-Cal members) verified; total CA lives unverified: model knowledge (~1.2M+),"Long Beach-headquartered; Medi-Cal in multiple counties, Marketplace, and D-SNP/Medi-Medi plans."
CA,9,Aetna (CVS Health),aetna,Aetna,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — large employer ASO/fully-insured book plus MA; exited Covered California individual market (2026 ACA exit nationally),Commercial + MA; no Medi-Cal line.
CA,10,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — major ASO administrator for large CA employers; Medicare book sold to HCSC (2025),"Self-funded commercial concentration. Just below this cut: CalOptima Health (~900k+, Orange County COHS Medi-Cal) and Sharp/Western Health Advantage regionally — CalOptima arguably outranks Cigna on risk lives; kept at #11 because Cigna's total ASO covered lives are larger. Flagged low-confidence."
CO,1,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,"Rank inferred from combined book: largest CO Medicare Advantage insurer at ~50% MA share (Becker's/KFF state MA data, 2024-2025, verified via web search) plus a large commercial ASO book. Commercial share pct not separately verified.","Also owns Rocky Mountain Health Plans (listed separately, Western Slope brand). Dominant MA carrier statewide."
CO,2,Anthem Blue Cross and Blue Shield of Colorado (Elevance),anthem-blue-cross-and-blue-shield-of-colorado,Anthem Blue Cross and Blue Shield Colorado (Elevance Health),Elevance Health,commercial,commercial|medicare_advantage,,"AMA Competition in Health Insurance 2024 (2023 data): Elevance held the largest commercial share in several CO MSAs (Boulder, Colorado Springs, Pueblo at ~28-29%), verified via web search. Statewide pct not published in retrieved sources.",The state's BCBS licensee. Large fully-insured + BlueCard/ASO book.
CO,3,Kaiser Permanente Colorado,kaiser-permanente-colorado,Kaiser Permanente Colorado (Kaiser Foundation Health Plan of Colorado),Kaiser Foundation Health Plan,commercial,commercial|medicare_advantage,32.8,"32.8% of Colorado's FULLY-INSURED market only (Kaiser Permanente public-policy page citing CO Division of Insurance, ~2024, verified via web search); overall all-lines share is lower because KP writes little ASO. #1 in the CO individual market.",Closed/integrated delivery system concentrated in Front Range; credentialing is largely through Colorado Permanente Medical Group rather than open network contracting.
CO,4,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — large self-funded/ASO employer book in Denver metro; no statewide pct located in searched sources.,"Predominantly ASO; exited MA nationally (sold MA book to HCSC, 2025)."
CO,5,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national #3-4 carrier with meaningful CO commercial ASO and MA enrollment; no CO-specific pct located.,
CO,6,Colorado Access,colorado-access,,Colorado Access (nonprofit),medicaid_mco,managed_medicaid,,unverified: model knowledge — largest RAE by attributed Health First Colorado members (Denver metro regions); RAE attribution is not classic MCO enrollment.,RAE under ACC Phase III (capitated behavioral health + care coordination) and CHP+ (child health plan) carrier. Behavioral providers credential with the RAE; physical health remains state FFS.
CO,7,Rocky Mountain Health Plans (UnitedHealthcare),rocky-mountain-health-plans,,UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge — dominant Western Slope regional; operates RMHP PRIME (one of only two capitated Medicaid physical-health MCOs, verified via hcpf.colorado.gov) and a western-CO RAE.",Local brand retained post-UHC acquisition (2017); credential separately from UHC national in western Colorado.
CO,8,Denver Health Medical Plan (Elevate Health Plans),denver-health-medical-plan,,Denver Health and Hospital Authority,medicaid_mco,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge — Elevate Medicaid Choice is one of the two capitated Medicaid MCOs (verified via hcpf.colorado.gov); commercial/exchange 'Elevate' book is small.,Denver-county-centric; largely closed network around Denver Health system.
CO,9,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — #2-3 MA carrier in CO behind UnitedHealthcare (UHG ~50% CO MA per Becker's/KFF 2024-2025); negligible CO commercial.,MA-only presence in CO for medical lines.
CO,10,SelectHealth (Intermountain),selecthealth,Select Health,Select Health (Intermountain Health),commercial,commercial|medicare_advantage,,unverified: model knowledge — entered CO individual/exchange market ~2023 and expanding along the Front Range; small but growing. Not verified in this session's searches.,Low-confidence #10; alternatives at this tier are small (Friday Health Plans is defunct as of 2023 and excluded).
CT,1,Anthem Blue Cross and Blue Shield of Connecticut (Elevance),anthem-blue-cross-and-blue-shield-of-connecticut,Anthem Blue Cross and Blue Shield Connecticut (Elevance Health),Elevance Health,commercial,commercial|medicare_advantage,,"Connecticut Insurance Department 2023 tally: Anthem is the dominant carrier with more than 1 million CT members (verified via Hartford Business Journal, 2024-2025). AMA 2024 study: CT commercial HHI 5,505, among the most concentrated states.",The state's BCBS licensee; one of only two carriers still writing fully-insured small group (with UHC).
CT,2,UnitedHealthcare,unitedhealthcare,UnitedHealthcare / Oxford Health Plans,UnitedHealth Group,commercial,commercial|medicare_advantage,,"Largest CT Medicare Advantage insurer at ~53% MA share (Becker's/KFF state MA data 2024-2025, verified via web search); large commercial book under the Oxford brand. Combined-lines pct not published.",Oxford is the dominant UHC commercial brand in CT.
CT,3,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,"CID 2023 tally: Cigna and Aetna combine for nearly 600,000 CT members (verified via Hartford Business Journal). Mostly self-funded ASO; Aetna exited CT fully-insured small group.",Headquartered in Hartford; heavy ASO presence.
CT,4,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,"CID 2023 tally: Cigna and Aetna combine for nearly 600,000 CT members (verified via Hartford Business Journal). Predominantly ASO; exited CT small group (with Oscar) since 2022.","Headquartered in Bloomfield, CT."
CT,5,ConnectiCare (Molina Healthcare),connecticare,,"Molina Healthcare (acquired from EmblemHealth, closed Feb 2025)",commercial,commercial|medicare_advantage,,"~140,000 CT members at time of Molina acquisition announcement, $350M deal (verified via InsuranceNewsNet/CT Insurance Dept filing 2024-2025).","Major CT exchange (Access Health CT) and MA carrier; exited fully-insured large group in 2025. Credential under ConnectiCare, now within Molina."
CT,6,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage|tricare,,unverified: model knowledge — meaningful CT MA enrollment behind UHC/Anthem; no CT commercial book.,
CT,7,CarePartners of Connecticut (Point32Health / Hartford HealthCare JV),carepartners-of-connecticut,,Point32Health (JV with Hartford HealthCare),medicare_advantage,medicare_advantage,,unverified: model knowledge — CT-only MA plan launched 2018; tens of thousands of members. Not verified in this session's searches.,MA-only; network anchored on Hartford HealthCare.
CT,8,Wellcare (Centene),wellcare,,Centene Corporation,medicare_advantage,medicare_advantage,,unverified: model knowledge — small CT MA/D-SNP book; Centene has no CT Medicaid or Ambetter presence.,Standalone PDP book excluded per scope.
CT,9,Harvard Pilgrim Health Care (Point32Health),harvard-pilgrim-health-care,,Point32Health,commercial,commercial,,"unverified: model knowledge — legacy CT commercial book, shrinking; exited CT small group market since 2022 (exit verified via Hartford Business Journal).",Declining presence; verify current network participation before credentialing effort.
CT,10,Yale Health,yale-health,,Yale University,commercial,commercial,,unverified: model knowledge — closed staff-model HMO for Yale students/employees/dependents (tens of thousands of lives). Low-confidence tail entry; CT has few sizable payers beyond rank 9.,Largely closed network; limited external credentialing opportunity.
DE,1,Highmark Blue Cross Blue Shield Delaware,highmark-blue-cross-blue-shield-delaware,,Highmark Health,commercial,commercial|medicare_advantage|managed_medicaid,,AMA 2024 study lists Delaware among the least competitive commercial markets with the Blue as leader (verified via web search); exact statewide pct not retrieved. Model knowledge puts the Highmark DE commercial share at roughly half the market — unverified.,The state's BCBS licensee. Medicaid arm (Highmark Health Options) listed separately. Co-administers the State of Delaware employee plan with Aetna.
DE,2,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — #2 commercial carrier in DE (large ASO book incl. State of Delaware employee plan) plus MA.,
DE,3,AmeriHealth Caritas Delaware,amerihealth-caritas-delaware,,AmeriHealth Caritas (Independence Health Group),medicaid_mco,managed_medicaid,,unverified: model knowledge — largest DSHP MCO by enrollment (DE Medicaid ~230-280k total lives across three MCOs). MCO participation verified via dhss.delaware.gov.,Covers DSHP + DSHP-Plus (LTSS) + DHCP CHIP.
DE,4,Highmark Health Options Delaware,highmark-health-options-delaware,,Highmark Health,medicaid_mco,managed_medicaid,,unverified: model knowledge — second-largest DSHP MCO; participation verified via dhss.delaware.gov.,Credential separately from Highmark BCBSD commercial.
DE,5,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,"Largest DE Medicare Advantage insurer at ~33% MA share (Becker's/KFF state MA data 2024-2025, verified via web search); commercial ASO presence smaller than Highmark/Aetna.",Exited DE Medicaid when its DSHP contract ended (2023 turnover to Delaware First Health).
DE,6,Delaware First Health (Centene),delaware-first-health,,Centene Corporation,medicaid_mco,managed_medicaid,,"Newest DSHP MCO, effective Jan 2023 (verified via Healthcare Innovation / dhss.delaware.gov); smallest of the three MCOs — enrollment pct unverified.",Centene also sells Ambetter exchange plans in DE (small) — verify product participation separately.
DE,7,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — ASO employer book in the Wilmington corporate market.,
DE,8,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage|tricare,,unverified: model knowledge — MA presence behind UHC/Highmark/Aetna; DE MA market is small (~70-80k total MA lives).,
DE,9,Wellcare (Centene),wellcare,,Centene Corporation,medicare_advantage,medicare_advantage,,unverified: model knowledge — small DE MA/D-SNP book. Low confidence.,
DE,10,Johns Hopkins US Family Health Plan,johns-hopkins-us-family-health-plan,,Johns Hopkins Medicine,tricare,tricare,,unverified: model knowledge — TRICARE Prime designated provider (USFHP) whose service area includes Delaware; niche lives count. Low-confidence tail entry — Delaware has few sizable payers beyond rank 9.,"TRICARE Prime alternative, not supplemental-only, hence included; verify service-area counties."
FL,1,Florida Blue (GuideWell),florida-blue,,GuideWell Mutual Holding Corporation,commercial,commercial|medicare_advantage,,"Largest FL commercial insurer (AMA Competition in Health Insurance 2024, 2023 data — leads 22 FL MSAs; ~27% Orlando MSA; ~60% of FL small group per Florida Plan Finder/DOI-derived figure, verified via web search). Statewide all-lines pct not published in retrieved sources.",The state's BCBS licensee; also among the largest ACA-exchange carriers in FL.
FL,2,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge for combined rank — very large ASO/commercial book plus one of the two largest FL MA books; re-entered SMMC via 2024-2025 protest settlement (settlement verified via Florida Politics/Healthcare Dive).,"Initially lost the SMMC 3.0 procurement, restored via settlement."
FL,3,Humana,humana,,Humana Inc.,medicare_advantage,commercial|medicare_advantage|managed_medicaid|tricare,,unverified: model knowledge for pct — FL is Humana's largest MA state (Humana + CarePlus); statewide SMMC 3.0 comprehensive + specialty contracts verified via Florida Politics/AHCA sources.,CarePlus is a separate Humana MA HMO brand in FL — credential both.
FL,4,Sunshine Health (Centene),sunshine-health,,Centene Corporation,medicaid_mco,commercial|medicare_advantage|managed_medicaid,,"Largest FL Medicaid plan by enrollment, boosted by statewide specialty contracts (verified via Brevy/flmedicaidmanagedcare sources, 2025-2026). Centene's FL total also includes Ambetter (among the largest FL ACA books) and Wellcare MA — combined pct unverified.",SMMC 3.0 comprehensive + specialty (child welfare/CMS Health Plan) statewide.
FL,5,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge for rank — large FL commercial ASO + MA; Aetna Better Health of Florida restored to SMMC 3.0 via protest settlement (settlement verified via Florida Politics).,
FL,6,Simply Healthcare Plans (Elevance Health),simply-healthcare-plans,,Elevance Health,medicaid_mco,medicare_advantage|managed_medicaid,,"One of three plans with statewide SMMC comprehensive presence, plus statewide LTC+/HIV-AIDS/SMI specialty awards (verified via Brevy/Florida Politics, 2024-2026); one of Elevance's largest Medicaid books nationally.",Elevance's FL MA also runs under Freedom Health/Optimum HealthCare brands (acquired 2021) — credential each entity. Elevance has no FL Blue license (Florida Blue holds it).
FL,7,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — substantial ASO book in South Florida/Tampa employer market; sold its MA business (incl. FL) to HCSC in 2025.,
FL,8,Oscar Health,oscar-health,,"Oscar Health, Inc.",commercial,commercial,,unverified: model knowledge — Florida is Oscar's largest ACA-exchange state (several hundred thousand to ~1M FL members in 2024-2026 filings). Not verified in this session's searches.,Individual/exchange only — no MA or Medicaid in FL.
FL,9,Molina Healthcare of Florida,molina-healthcare-of-florida,,Molina Healthcare,medicaid_mco,commercial|managed_medicaid,,"Restored to SMMC 3.0 via protest settlement after initially losing all regions (verified via Healthcare Dive/Florida Politics, 2024-2025); also sells Molina Marketplace in FL. Enrollment pct unverified.",
