payer_slug,name,parent_org,payer_kind,lobs,states,state_count,aliases,clearinghouse_payer_id,payer_id_scope,stedi_slug,enrollment_required,id_source
wellcare,Wellcare (Centene),Centene Corporation,medicare_advantage,medicare_advantage,AL|CT|DE|ME,4,Wellcare by Allwell|Wellcare by Fidelis? (no — NY only); Wellcare of Connecticut,,,,,WellCare-branded plans seen as 14163/11315 in the Availity list — verify per plan
mountain-health-co-op,Mountain Health CO-OP,"Mountain Health CO-OP (member-governed CO-OP, ID/MT/WY)",commercial,commercial,ID|MT|WY,3,Montana Health CO-OP|Montana Health CO-OP (parent brand),,,,,
pacificsource-health-plans,PacificSource Health Plans,PacificSource,commercial,commercial|managed_medicaid|medicare_advantage,ID|MT|OR,3,PacificSource Community Health Plans|PacificSource Community Solutions|PacificSource Medicare,93029,per_region,,,Availity 837 PDF (PACIFICSOURCE HEALTH PLANS 93029; PACIFICSOURCE MEDICARE 20377; PACIFICSOURCE COMMUNITY SOLUTIONS 20416)
sanford-health-plan,Sanford Health Plan,"Sanford Health (Sioux Falls, SD)",commercial,commercial|medicare_advantage,IA|ND|SD,3,Align powered by Sanford Health Plan|Align powered by Sanford Health Plan (MA)|Sanford Health Plan of North Dakota,91184,per_region,,,"sanfordhealthplan.com ID-card reference PDF (search summary: non-Medicare Advantage 91184, Medicare Advantage RP035); claim.md/payer/91184"
selecthealth,SelectHealth (Intermountain),Select Health (Intermountain Health),commercial,commercial|managed_medicaid|medicare_advantage,CO|ID|UT,3,SelectHealth|SelectHealth Advantage (MA)|SelectHealth Community Care (Medicaid ACO)|SelectHealth Idaho,SX107,per_region,,,thepracticebridge.com/SX107 (Select Health of Utah); selecthealth.org payer-id-list PDF says ID varies by clearinghouse (e.g. HT000015-001)
blue-cross-and-blue-shield-of-kansas-city,Blue Cross and Blue Shield of Kansas City (Blue KC),"Independent BCBS licensee (Blue KC, Kansas City, MO)",commercial,commercial|medicare_advantage,KS|MO,2,BCBSKC|Blue KC|Blue Medicare Advantage (Blue KC)|Spira Care,47171,per_region,,,claim.md/payer/47171; thepracticebridge.com/47171; lerasign.com/payer-id/kc-bcbs-47171
carefirst-bluecross-blueshield,CareFirst BlueCross BlueShield,"CareFirst, Inc. (independent BCBS licensee for MD, DC, N. Virginia)",commercial,commercial|managed_medicaid|medicare_advantage,MD|VA,2,CareFirst|CareFirst BlueChoice|CareFirst BlueCross BlueShield Advantage (MA)|CareFirst BlueCross BlueShield Community Health Plan Maryland (Medicaid)|Group Hospitalization and Medical Services Inc. (GHMSI),SB690,per_region,,,"Availity 837 PDF: CAREFIRST BCBS MARYLAND SB690, CAREFIRST BCBS DISTRICT OF COLUMBIA NCA SB580, CareFirst Medicare Advantage 193"
healthpartners,HealthPartners,"HealthPartners (integrated nonprofit, incl. Park Nicollet)",commercial,commercial|managed_medicaid|medicare_advantage,MN|ND,2,HealthPartners UnityPoint Health|HealthPartners UnityPoint Health (IA)|Journey/Robin plans,94267,per_state,,,healthpartners.com EDI claims-submission page (search summary: 94267 for all hospital/medical/dental/status/eligibility)
kaiser-permanente-mid-atlantic-states,Kaiser Permanente Mid-Atlantic States,"Kaiser Foundation Health Plan, Inc.",commercial,commercial|managed_medicaid|medicare_advantage,MD|VA,2,KPMAS|Kaiser Permanente Mid-Atlantic,,per_region,,,"mymedicalbillsolution.com Kaiser billing guide (search summary): NCAL 94135, SCAL 91062, CO 91617, GA 61415, HI 99938, Mid-Atlantic 52192, NW 91165, WA 91151; Availity 837 PDF row: KAISER FOUNDATION HEALTH PLAN WASHINGTON 91051 | 52192 seen but collides with Cigna HealthSpring in the Availity list — treat as unconfirmed"
martin-s-point-generations-advantage,Martin's Point Generations Advantage,"Martin's Point Health Care (Portland, ME nonprofit)",medicare_advantage,medicare_advantage|tricare,ME|NH,2,Generations Advantage|Martin's Point US Family Health Plan,,,,,
moda-health,Moda Health,"Moda Health (Moda, Inc.)",commercial,commercial|managed_medicaid|medicare_advantage,AK|OR,2,"Eastern Oregon CCO (EOCCO, Moda-affiliated)|Moda|Moda Assurance Company",13350,per_region,,,Availity 837 PDF (MODA HEALTH (ODS HEALTH PLAN) 13350)
premera-blue-cross,Premera Blue Cross,Premera Blue Cross,commercial,commercial|medicare_advantage,AK|WA,2,BCBS Federal Employee Program (AK)|LifeWise Health Plan of Washington (Premera affiliate)|Premera BCBS AK,00430,per_state,,,Availity 837 PDF (PREMERA BLUE CROSS (WA) 00430; PREMERA BCBS OF ALASKA 00934)
wellmark-blue-cross-and-blue-shield,Wellmark Blue Cross and Blue Shield (IA & SD),"Wellmark, Inc. (independent BCBSA licensee, IA & SD)",commercial,commercial|medicare_advantage,IA|SD,2,Wellmark|Wellmark Advantage Health Plan|Wellmark Advantage Health Plan (MA)|Wellmark BCBS|Wellmark Health Plan of Iowa|Wellmark of South Dakota,88848,per_state,,,"Availity 837 PDF (WELLMARK BCBS (IOWA, SOUTH DAKOTA) 88848)"
ohana-health-plan,'Ohana Health Plan (WellCare / Centene),Centene Corporation (WellCare),medicaid_mco,managed_medicaid|medicare_advantage,HI,1,'Ohana CCS|Ohana Health Plan|WellCare of Hawaii,,,,,WellCare-branded plans seen as 14163/11315 in the Availity list — verify per plan
absolute-total-care,Absolute Total Care,Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,SC,1,Ambetter from Absolute Total Care (exchange)|Wellcare (Centene MA),,,,,
allegiance-benefit-plan-management,Allegiance Benefit Plan Management (Cigna),The Cigna Group,commercial,commercial,MT,1,Allegiance|Cigna + Allegiance,,,,,
alliant-health-plans,Alliant Health Plans,"Alliant Health Plans (independent nonprofit, Dalton GA)",commercial,commercial,GA,1,SimpleCare|SoloCare,,,,,
alohacare,AlohaCare,"AlohaCare (independent, community-founded nonprofit)",medicaid_mco,managed_medicaid|medicare_advantage,HI,1,AlohaCare Advantage Plus|AlohaCare QUEST Integration,,,,,
ambetter-from-arkansas-health-and-wellness,Ambetter from Arkansas Health & Wellness (Centene),Centene Corporation,commercial,commercial|managed_medicaid,AR,1,Arkansas Health & Wellness|Celtic Insurance (issuer),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
ambetter-from-wellcare-of-kentucky,Ambetter from WellCare of Kentucky (Centene),Centene Corporation,commercial,commercial,KY,1,Ambetter,68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
ambetter-from-western-sky-community-care,Ambetter from Western Sky Community Care (Centene),Centene Corporation,commercial,commercial,NM,1,Ambetter of New Mexico|Western Sky Community Care,68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
ambetter-health-of-nebraska,Ambetter Health of Nebraska (Centene),Centene Corporation,commercial,commercial,NE,1,Ambetter from Nebraska Total Care,68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
ambetter-of-magnolia,Ambetter of Magnolia (Centene),Centene Corporation,commercial,commercial,MS,1,Ambetter,68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
ambetter-of-peach-state,Ambetter of Peach State (Centene),Centene Corporation,commercial,commercial|medicare_advantage,GA,1,"Peach State Health Plan (Medicaid brand, exited 7/2026)|Wellcare of Georgia",68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
ambetter-of-tennessee,Ambetter of Tennessee (Centene),Centene Corporation,commercial,commercial|medicare_advantage,TN,1,Celtic Insurance Company|Wellcare (Centene MA brand in TN),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
amerihealth-caritas-delaware,AmeriHealth Caritas Delaware,AmeriHealth Caritas (Independence Health Group),medicaid_mco,managed_medicaid,DE,1,ACDE,,,,,
amerihealth-caritas-louisiana,AmeriHealth Caritas Louisiana,AmeriHealth Caritas (Independence Blue Cross/Blue Cross family),medicaid_mco,managed_medicaid,LA,1,ACLA,,,,,
amerihealth-caritas-new-hampshire,AmeriHealth Caritas New Hampshire,AmeriHealth Caritas (Independence Health Group / Blue Cross of Idaho JV lineage),medicaid_mco,managed_medicaid,NH,1,ACNH,,,,,
amerihealth-caritas-north-carolina,AmeriHealth Caritas North Carolina,AmeriHealth Caritas (Independence Blue Cross / Blue Cross Blue Shield of Michigan JV),medicaid_mco,managed_medicaid,NC,1,ACNC,,,,,
amerihealth-caritas-pennsylvania-keystone-first,AmeriHealth Caritas Pennsylvania / Keystone First,AmeriHealth Caritas (owned by Independence Health Group + Blue Cross Blue Shield of Michigan),medicaid_mco,managed_medicaid,PA,1,AmeriHealth Caritas PA CHC|Keystone First|Keystone First CHC,,,,,
amerihealth-new-jersey,AmeriHealth New Jersey,Independence Health Group (AmeriHealth Holdings),commercial,commercial,NJ,1,AmeriHealth Insurance Company of New Jersey,,,,,
anthem-blue-cross-and-blue-shield-of-colorado,Anthem Blue Cross and Blue Shield of Colorado (Elevance),Elevance Health,commercial,commercial|medicare_advantage,CO,1,"Anthem BCBS of Colorado|Wellpoint (Medicaid brand, not active in CO)",00050,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-connecticut,Anthem Blue Cross and Blue Shield of Connecticut (Elevance),Elevance Health,commercial,commercial|medicare_advantage,CT,1,Anthem BCBS of Connecticut,00060,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-georgia,Anthem Blue Cross and Blue Shield of Georgia (Elevance),Elevance Health,commercial,commercial|medicare_advantage,GA,1,"Amerigroup Georgia (legacy name)|Anthem BCBS of Georgia|Wellpoint Georgia (Medicaid brand, exited 7/2026)",00601,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-indiana,Anthem Blue Cross and Blue Shield of Indiana (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,IN,1,"Anthem|Anthem Hoosier Healthwise/HIP|Anthem PathWays for Aging|IU Health Plans (MA book acquired by Elevance, 2024)",00630,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-kentucky,Anthem Blue Cross and Blue Shield of Kentucky (Elevance),Elevance Health,commercial,commercial|medicare_advantage,KY,1,Anthem BCBS KY|Anthem Health Plans of Kentucky,00660,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-maine,Anthem Blue Cross and Blue Shield of Maine (Elevance),Elevance Health (Anthem Health Plans of Maine),commercial,commercial|medicare_advantage,ME,1,Anthem Health Plans of Maine|Anthem Maine,00680,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-missouri,Anthem Blue Cross and Blue Shield of Missouri (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,MO,1,Anthem BCBS MO|Healthy Blue Missouri (Medicaid)|RightCHOICE (legacy),00241,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-nevada,Anthem Blue Cross and Blue Shield of Nevada (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,NV,1,Anthem Nevada|Community Care Health Plan of Nevada (Medicaid),00265,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-new-hampshire,Anthem Blue Cross and Blue Shield of New Hampshire (Elevance),Elevance Health,commercial,commercial|medicare_advantage,NH,1,Anthem NH|Matthew Thornton Health Plan (legacy HMO entity),00770,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-new-york,Anthem Blue Cross and Blue Shield of New York (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,NY,1,Anthem HealthPlus (Medicaid)|Empire BlueCross (Bronx/upstate Blue Cross-only counties)|Empire BlueCross BlueShield,00803,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-ohio,Anthem Blue Cross and Blue Shield of Ohio (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,OH,1,Anthem BCBS Ohio|Anthem Medicaid (OH)|Community Insurance Company,00834,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-virginia,Anthem Blue Cross and Blue Shield of Virginia (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,VA,1,Anthem HealthKeepers|Anthem HealthKeepers Plus (Medicaid)|HealthKeepers Inc.,00423,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-and-blue-shield-of-wisconsin,Anthem Blue Cross and Blue Shield of Wisconsin (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,WI,1,Compcare Health Services Insurance Corp (HMO/BadgerCare legal entity)|Wellpoint (some WI Medicaid materials),00950,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
anthem-blue-cross-of-california,Anthem Blue Cross of California (Elevance),Elevance Health,commercial,commercial|managed_medicaid|medicare_advantage,CA,1,Anthem Blue Cross Partnership Plan (Medi-Cal)|Anthem Blue Cross of California,47198,per_state,,,Availity 837 PDF (full per-state Anthem block); providers.anthem.com KY EDI page confirmed 00660 professional / 00160 institutional
arizona-complete-health,Arizona Complete Health (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,AZ,1,Ambetter from Arizona Complete Health|Arizona Complete Health–Complete Care Plan|Wellcare by Allwell (AZ MA),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
arkansas-blue-cross-and-blue-shield,Arkansas Blue Cross and Blue Shield (USAble Mutual),USAble Mutual Insurance Company,commercial,commercial|managed_medicaid|medicare_advantage,AR,1,ABCBS|BlueMedicare|Health Advantage (HMO affiliate)|Octave Blue Cross and Blue Shield,00520,per_state,,,Availity 837 PDF (ARKANSAS BCBS 00520)
arkansas-total-care,Arkansas Total Care (Centene),Centene Corporation,medicaid_mco,managed_medicaid,AR,1,ATC PASSE,,,,,Centene plans generally consolidate on 68069 — verify per plan
aultcare,AultCare (Aultman Health Foundation),Aultman Health Foundation,commercial,commercial|medicare_advantage,OH,1,AultCare Insurance Company|PrimeTime Health Plan (MA),,,,,
avera-health-plans,Avera Health Plans,Avera Health,commercial,commercial|medicare_advantage,SD,1,"DAKOTACARE (legacy, merged into Avera)",46045,per_region,,,claim.md/payer/46045 (Avera Health Plans); thepracticebridge.com/46045
banner-health-plans,Banner Health Plans,Banner Health,medicaid_mco,commercial|managed_medicaid|medicare_advantage,AZ,1,Banner Medicare Advantage|Banner-University Care Advantage (D-SNP)|Banner–University Family Care,,,,,
baylor-scott-and-white-health-plan,Baylor Scott & White Health Plan,Baylor Scott & White Health,commercial,commercial|managed_medicaid|medicare_advantage,TX,1,BSW Health Plan|RightCare (legacy Medicaid brand)|Scott & White Health Plan (legacy),94999,per_region,CKANP,,bswhealthplan.com/providers/claims (search summary: 'use payer number 94999'); Stedi page indexed at stedi.com/healthcare/network/CKANP
blue-cross-and-blue-shield-of-mississippi,Blue Cross & Blue Shield of Mississippi,Blue Cross & Blue Shield of Mississippi (independent licensee),commercial,commercial|medicare_advantage,MS,1,BCBSMS,SB730,per_state,,,Search summary citing SB730 for BCBSMS 837 claims (bcbsms.com e-solutions surfaced alongside)
blue-cross-and-blue-shield-of-rhode-island,Blue Cross & Blue Shield of Rhode Island,Independent BCBS licensee,commercial,commercial|medicare_advantage,RI,1,BCBSRI|BlueCHiP,00870,per_state,,,"claim.md/payer/00870; practice.mbpractice.com payerId=00870; bcbsri.com FAQ (00870 Blue Shield/Blue Chip, 00370 Blue Cross/Blue Chip for ANSI files)"
blue-cross-and-blue-shield-of-alabama,Blue Cross and Blue Shield of Alabama,Blue Cross and Blue Shield of Alabama (independent licensee),commercial,commercial|medicare_advantage,AL,1,BCBS AL|Blue Advantage (MA product),00510,per_state,,,claim.md/payer/00510/AL; quickintell.com/payers/bcbs-alabama cites SB510 as primary with 00510 alias
blue-cross-and-blue-shield-of-illinois,Blue Cross and Blue Shield of Illinois (HCSC),Health Care Service Corporation,commercial,commercial|managed_medicaid|medicare_advantage,IL,1,BCBSIL|Blue Cross Community Health Plans (BCCHP)|Blue Cross Community MMAI (ended 2025),00621,per_state,,,"Availity 837 PDF: BCBS TEXAS 84980, BCBS ILLINOIS 00621, BCBS OKLAHOMA 00840, BCBS NEW MEXICO 00790, BCBS MONTANA 00751"
blue-cross-and-blue-shield-of-kansas,Blue Cross and Blue Shield of Kansas,"Independent BCBS licensee (Topeka, KS)",commercial,commercial|medicare_advantage,KS,1,BCBS of Kansas|BCBSKS,4716B,per_state,,,Availity 837 PDF (BCBS KANSAS 4716B)
blue-cross-and-blue-shield-of-louisiana,Blue Cross and Blue Shield of Louisiana,Independent BCBS licensee (Baton Rouge; sale to Elevance abandoned Feb 2024 - remains independent),commercial,commercial|medicare_advantage,LA,1,BCBSLA|Blue Advantage (MA)|HMO Louisiana,53120,per_state,,,Office Ally pre-enrollment packet title 'BCBS LOUISIANA (53120)' (cms.officeally.com/OfficeAlly/Forms/EDI/BCBS_LA_EDI_ERA_ENR_PKT.pdf)
blue-cross-and-blue-shield-of-minnesota,Blue Cross and Blue Shield of Minnesota (incl. Blue Plus),Aware Integrated / BCBS of Minnesota (nonprofit),commercial,commercial|managed_medicaid|medicare_advantage,MN,1,BCBSMN|Blue Plus (HMO/Medicaid)|SecureBlue (MSHO),00720,per_state,,,Availity 837 PDF (BCBS MINNESOTA 00720; aliases 220/00220/00222/222/720/722/00722; Blue Plus Medicaid 00726)
blue-cross-and-blue-shield-of-montana,Blue Cross and Blue Shield of Montana (HCSC),Health Care Service Corporation,commercial,commercial|medicare_advantage,MT,1,BCBSMT|Blue Cross Blue Shield of Montana|Blue Cross Medicare Advantage (MT),00751,per_state,,,"Availity 837 PDF: BCBS TEXAS 84980, BCBS ILLINOIS 00621, BCBS OKLAHOMA 00840, BCBS NEW MEXICO 00790, BCBS MONTANA 00751"
