state,program_name,model,notes
HI,Med-QUEST (QUEST Integration),managed_care,"Statewide comprehensive managed care incl. LTSS. Five contracted QUEST Integration MCOs (confirmed on medquest.hawaii.gov, 2025): HMSA, AlohaCare, Kaiser Permanente (O'ahu and Maui only), 'Ohana Health Plan (WellCare/Centene), UnitedHealthcare Community Plan. 'Ohana also holds the behavioral-health CCS (Community Care Services) contract. Reprocurement RFI issued (Health Management Associates, 2025)."
IA,"IA Health Link (Iowa Medicaid, incl. Hawki CHIP)",managed_care,"Comprehensive statewide managed care covering ~95% of members, integrating physical, behavioral, and LTSS (hhs.iowa.gov). Three MCOs under synchronized contracts running 2025-2031 (iowamedicaidhelp.com, 2025 award): Iowa Total Care (Centene), Molina Healthcare of Iowa, Wellpoint Iowa (Elevance, formerly Amerigroup Iowa). Dental carved out (Delta Dental/MCNA). New members auto-assigned; 90-day switch window."
ID,Idaho Medicaid,hybrid,"Medical benefits remain largely fee-for-service; the Healthy Connections PCCM program ended Dec 31, 2025 (healthandwelfare.idaho.gov). Managed-care carve-outs: Idaho Behavioral Health Plan (Magellan), Idaho Smiles dental (MCNA), and dual-eligible plans — Idaho Medicaid Plus (IMPlus) and Medicare-Medicaid Coordinated Plan (MMCP) now held by Molina Healthcare of Idaho and UnitedHealthcare Community Plan of Idaho (go-live Jan 2026; Blue Cross of Idaho's duals contract ended summer 2025). HB 345 (Mar 2025) mandates full comprehensive managed care, delayed to ~Jan 1, 2030."
IL,HealthChoice Illinois (HFS Medical Programs),managed_care,"Statewide mandatory managed care, ~3.25M enrollees (HFS enrollment report, Mar 2025). Contracted MCOs: Aetna Better Health of Illinois, Blue Cross Community Health Plans (BCBSIL), Meridian (Centene), Molina Healthcare of Illinois statewide, plus CountyCare Health Plan (Cook County Health, Cook County only) and YouthCare (Meridian/Centene, DCFS youth specialty plan). MMAI duals demo ended Dec 2025; duals transitioned to aligned D-SNP products."
IN,"Indiana Health Coverage Programs (IHCP): Hoosier Healthwise, Healthy Indiana Plan (HIP), Hoosier Care Connect, Indiana PathWays for Aging",managed_care,"Risk-based managed care for most enrollees; Traditional Medicaid (FFS) remains for limited populations. Active MCEs after MDwise's market exit effective Jan 1, 2026 (in.gov/medicaid; medsolercm.com 2026 guide): Anthem BCBS of Indiana, CareSource Indiana, MHS/Managed Health Services (Centene), UnitedHealthcare Community Plan of Indiana; PathWays for Aging (LTSS, 60+) is Anthem, Humana Healthy Horizons in Indiana, and UnitedHealthcare."
KS,KanCare,managed_care,"KanCare serves ~458,000 Kansans (KDHE, 2024). Contracts for Jan 1, 2025 - Dec 31, 2027 held by three MCOs: Sunflower Health Plan (Centene), UnitedHealthcare Community Plan, and Healthy Blue (Elevance-majority JV with BCBS of Kansas and Blue KC). Aetna Better Health of Kansas exited Dec 31, 2024 (lost the 2025 rebid). Verified via KDHE announcement and KanCare.ks.gov, 2024."
KY,Kentucky Medicaid (managed care via kynect; ~1.5M enrollees),managed_care,"Five MCOs as of 2025: Aetna Better Health of Kentucky, Humana Healthy Horizons in Kentucky, Passport Health Plan by Molina Healthcare, UnitedHealthcare Community Plan, and WellCare of Kentucky (Centene). Anthem BCBS exited KY Medicaid Jan 1, 2025 by court order after the contract-award litigation; its members were reassigned mainly to Humana/UHC. SB 13 will eventually cap the number of MCOs at 3. Verified via KY CHFS/DMS materials and news coverage, 2024-2026."
LA,Healthy Louisiana,managed_care,"Statewide managed care (~1.6-1.9M enrollees). Six MCOs through 2025: Aetna Better Health of Louisiana, AmeriHealth Caritas Louisiana, Healthy Blue (BCBSLA + Elevance JV), Humana Healthy Horizons in Louisiana, Louisiana Healthcare Connections (Centene), UnitedHealthcare Community Plan of Louisiana. UnitedHealthcare exited LA Medicaid effective Dec 31, 2025, leaving FIVE MCOs for 2026 (LDH announcement). Verified via LDH ldh.la.gov, 2024-2026."
MA,MassHealth,hybrid,"ACO-dominant model since 2018: most members are in Accountable Care Partnership Plans (an MCO paired with a health system) or Primary Care ACOs; a smaller traditional MCO track, the PCC plan, and FFS/duals remain. MCO-side contract holders: WellSense Health Plan (BMC Health System; also fronts multiple ACO partnership plans) and Tufts Health Together (Point32Health) - note Tufts Health Together's standalone MCO plan ended Jan 1, 2026 per Tufts Health Plan member notice, though Tufts continues ACO partnership plans (with CHA, UMass Memorial). Verified via mass.gov ACO/MCO list and plan notices, 2024-2026."
MD,HealthChoice (Maryland Medicaid managed care; ~1.5M total Medicaid/MCHP enrollees),managed_care,"Mandatory MCO enrollment for most beneficiaries under 65. Nine contracted MCOs (2025-2026): Aetna Better Health of Maryland, CareFirst BlueCross BlueShield Community Health Plan Maryland, Jai Medical Systems, Kaiser Permanente, Maryland Physicians Care, MedStar Family Choice, Priority Partners, UnitedHealthcare Community Plan, Wellpoint Maryland (formerly Amerigroup). Priority Partners had a new-enrollment pause 3/17-5/16/2025 (NCQA accreditation suspension). Verified via Maryland DOH / Maryland Health Connection, 2025-2026."
ME,MaineCare,ffs,"Maine is one of the few states with NO comprehensive Medicaid MCOs - MaineCare pays providers fee-for-service, with a Primary Care Case Management (PCCM) overlay for roughly half of members (medicaid.gov Maine managed-care profile; Maine DHHS). 2025 legislation (LD/HP1249) proposed establishing managed care but no MCO contracts exist as of July 2026. Credentialing: enroll directly with MaineCare."
MI,"Michigan Medicaid - Comprehensive Health Care Program (Medicaid Health Plans), incl. Healthy Michigan Plan expansion",managed_care,"Nine MHPs won the Oct 1, 2024 rebid ($15B, ~2M lives, verified MDHHS/MHA April 2024): Meridian Health Plan of Michigan (Centene), Molina Healthcare of Michigan, McLaren Health Plan, UnitedHealthcare Community Plan, Aetna Better Health of Michigan, Upper Peninsula Health Plan, Blue Cross Complete of Michigan, Priority Health Choice, HAP CareSource. MI Coordinated Health (duals) awards announced Dec 2024."
MN,"Medical Assistance (MA) + MinnesotaCare, delivered via Minnesota Health Care Programs managed care (PMAP, MSHO, MSC+, SNBC)",hybrid,"Majority of enrollees in managed care (PMAP families/children, MSHO/MSC+ seniors, SNBC disability), with a meaningful FFS remainder. 2025 PMAP plan set (verified MN DHS): Blue Plus, HealthPartners (closed to new PMAP enrollees Dec 2024), Hennepin Health, IMCare (Itasca County), Medica, PrimeWest Health, South Country Health Alliance, UCare. Churn: UCare exited PMAP/MinnesotaCare in 11 counties Sept 2025 and entered court-ordered rehabilitation Dec 2025 (Medica acquired its individual/family plans); DHS ran a new MA/MinnesotaCare RFP for 80 greater-MN counties. County-based purchasing plans (PrimeWest, South Country, IMCare) are unique-to-MN Medicaid payers."
MO,MO HealthNet (MO HealthNet Managed Care),hybrid,"Managed care statewide for children, families, pregnant women, and the adult expansion group; aged/blind/disabled populations remain largely FFS. Three MCOs (verified mydss.mo.gov, 2025): Healthy Blue (Elevance), Home State Health (Centene), UnitedHealthcare Community Plan. Show Me Healthy Kids - the statewide specialty plan for foster/adoptive children - is administered by Home State Health (members cannot switch plans)."
MS,Mississippi Coordinated Access Network (MississippiCAN) + Mississippi CHIP,hybrid,"Managed care (MississippiCAN CCOs) covers most children/families/expansion-adjacent groups while a substantial aged/blind/disabled population remains FFS; MS has NOT expanded Medicaid. New four-year, ~$3.8B-each CCO contracts signed Aug 12, 2024, operational July 1, 2025 (verified MS DOM / Mississippi Today): Magnolia Health (Centene), Molina Healthcare of Mississippi, and TrueCare (Mississippi True - provider-sponsored nonprofit backed by CareSource) which replaced UnitedHealthcare Community Plan (UHC exited July 1, 2025)."
MT,Montana Medicaid (Montana Healthcare Programs; expansion = Montana HELP Plan),ffs,"No comprehensive risk-based MCOs — Montana pays essentially all medical claims fee-for-service through DPHHS (fee schedules at medicaidprovider.mt.gov, verified 2025). The old Passport to Health PCCM was wound down; remaining managed-care authority is limited PCCM-style case management under a 1932(a) SPA, not capitated MCOs. Providers enroll directly with Montana Medicaid, not with plans."
NC,NC Medicaid Managed Care (Standard Plans + Behavioral Health/I-DD Tailored Plans); NC Medicaid Direct (FFS) for remaining populations,hybrid,"Standard Plans launched July 1, 2021. Contract holders (verified via NC DHHS, 2025-2026): AmeriHealth Caritas North Carolina, Carolina Complete Health (Centene + NC Medical Society; MERGED INTO WellCare of NC April 2026 per NC Medicaid member notices), Healthy Blue (Blue Cross NC in partnership with Amerigroup/Elevance), UnitedHealthcare Community Plan of NC, and WellCare of North Carolina (Centene). Tailored Plans (whole-person plans incl. physical health) launched July 1, 2024: Alliance Health, Partners Health Management, Trillium Health Resources, Vaya Health. Eastern Band of Cherokee Indians Tribal Option and some populations remain in NC Medicaid Direct (FFS)."
ND,North Dakota Medicaid; ND Medicaid Expansion (managed care carve-out),hybrid,"Traditional Medicaid is state-administered fee-for-service. Only the ACA expansion population (~25-30k adults) runs through a single MCO: Blue Cross Blue Shield of North Dakota holds the Medicaid Expansion managed-care contract since Jan 1, 2022 (initial term through Dec 31, 2025 plus two one-year renewal options) — verified via ND DHS/BCBSND announcements. Sanford Health Plan was the prior expansion MCO (2014-2021). 19-20 year-olds were moved from the expansion MCO to traditional FFS."
NE,Nebraska Medicaid — Heritage Health (managed care program),managed_care,"Statewide full-risk managed care ('Heritage Health', integrating physical, behavioral, pharmacy). Three MCOs under the contracts effective Jan 2024 (verified NE DHHS 2025): Molina Healthcare of Nebraska, Nebraska Total Care (Centene), UnitedHealthcare Community Plan of Nebraska (UnitedHealthcare of the Midlands). Healthy Blue Nebraska (Elevance) lost its contract and exited end of 2023. Since Jan 1, 2025 Nebraska requires centralized credentialing through a state-designated CVO before billing across Heritage Health plans — directly credentialing-relevant."
NH,New Hampshire Medicaid — Medicaid Care Management (MCM); expansion = Granite Advantage Health Care Program,managed_care,"Full-risk, fully capitated statewide managed care (~190k lives) covering acute, behavioral health and pharmacy, verified via NH DHHS 2024-2025 contract materials. Three MCOs: AmeriHealth Caritas New Hampshire, New Hampshire Healthy Families (Centene), WellSense Health Plan of NH (Boston Medical Center Health System). Some LTSS/populations remain FFS."
NJ,NJ FamilyCare (Medicaid + CHIP; MLTSS for long-term services),managed_care,"The large majority of ~1.8M+ NJ FamilyCare beneficiaries are in capitated MCOs; limited services remain FFS. Five contracted MCOs verified (NJ DHS / njfamilycare.dhs.state.nj.us, 2025): Aetna Better Health of New Jersey, Fidelis Care (Centene; the rebranded WellCare of NJ), Horizon NJ Health, UnitedHealthcare Community Plan, and Wellpoint New Jersey (formerly Amerigroup NJ — renamed Jan 1, 2024)."
NM,"Turquoise Care (replaced Centennial Care effective July 1, 2024)",managed_care,"Four MCOs hold Turquoise Care contracts (verified via NM Health Care Authority, 2024): Blue Cross and Blue Shield of New Mexico, Molina Healthcare of New Mexico, Presbyterian Turquoise Care (Presbyterian Health Plan), and UnitedHealthcare Community Plan of New Mexico. Molina and UnitedHealthcare are new entrants as of 7/1/2024; Western Sky Community Care (Centene) exited the Medicaid program at that transition and its members were reassigned."
NV,Nevada Medicaid (CHIP = Nevada Check Up),hybrid,"Historically mandatory capitated managed care in urban Clark and Washoe counties with FFS in rural counties. Verified: effective Jan 1, 2026 managed care expands statewide (first time in rural counties) with five contracted MCOs — Health Plan of Nevada (UnitedHealth), Community Care Health Plan of Nevada / Anthem (Elevance), SilverSummit Healthplan (Centene), Molina Healthcare of Nevada, and new entrant CareSource (Nevada Medicaid announcements + Healthcare Dive, Oct 2025). Post-2026 the model is effectively managed_care statewide; some populations/services remain FFS."
NY,"New York Medicaid — Mainstream Medicaid Managed Care (MMC), plus HARP, Essential Plan (1332), and MLTC lines",managed_care,"Large majority of beneficiaries are in mainstream MMC plans; a residual FFS population and service carve-outs remain (effectively hybrid at the margins). Major mainstream MMC plans per NYSDOH monthly enrollment reports (2025): Fidelis Care (Centene), Healthfirst PHSP, MetroPlusHealth (NYC Health + Hospitals), UnitedHealthcare Community Plan of NY, Anthem HealthPlus (Elevance), Molina Healthcare of New York (ex-Affinity), Excellus BCBS, MVP Health Care, CDPHP, Highmark BCBS of Western NY, Independent Health, plus special-needs plans (Amida Care, VNS Health)."
OH,Ohio Medicaid — Next Generation managed care program,managed_care,"Next Generation program launched Feb 2023 with seven MCOs (verified via Ohio Dept. of Medicaid, 2025): AmeriHealth Caritas Ohio, Anthem Blue Cross and Blue Shield, Buckeye Health Plan (Centene), CareSource Ohio, Humana Healthy Horizons in Ohio, Molina Healthcare of Ohio, UnitedHealthcare Community Plan of Ohio. OhioRISE (Aetna Better Health of Ohio) is the specialized behavioral-health plan for complex-needs youth; Gainwell is the single statewide PBM. Next Generation MyCare (duals) launched Jan 1, 2026 — CareSource and Molina are among the selected plans (ODM; full selected list includes Anthem and Buckeye per ODM press release — moderate confidence on the full list)."
OK,"SoonerCare (managed-care program: SoonerSelect, launched April 1, 2024)",hybrid,"SoonerSelect MCOs (medical) since 4/1/2024: Aetna Better Health of Oklahoma (CVS/Aetna), Humana Healthy Horizons in Oklahoma (Humana), Oklahoma Complete Health (Centene). SoonerSelect populations = ~56% of OK Medicaid (~583k of ~1.03M at launch, per OHCA/OU Health 2024); ABD/duals and other populations remain in FFS SoonerCare Traditional, so the model is hybrid. Separate SoonerSelect dental program (DentaQuest, LIBERTY, MCNA) is dental-only and excluded from the payer list."
OR,Oregon Health Plan (OHP),managed_care,"Delivered almost entirely through regional Coordinated Care Organizations (CCOs), not conventional MCOs. Largest: Health Share of Oregon (Portland tri-county, ~470-550k, largest CCO); PacificSource Community Solutions (Central Oregon, Columbia Gorge, Marion Polk; lost its Lane County region); Trillium Community Health Plan (Centene — absorbed ~96k Lane County members from PacificSource on Feb 1, 2026, on top of ~30k prior, per OHA/Lookout Eugene-Springfield); CareOregon-family CCOs Columbia Pacific CCO and Jackson Care Connect (CareOregon is also the dominant plan partner inside Health Share); Eastern Oregon CCO (Moda-affiliated); InterCommunity Health Network CCO (Samaritan); Umpqua Health Alliance; AllCare CCO; Yamhill Community Care; Cascade Health Alliance; Advanced Health."
PA,Medical Assistance — HealthChoices (physical health); Community HealthChoices (MLTSS/duals),managed_care,"Physical HealthChoices MCOs by zone (PA DHS, CY2025): AmeriHealth Caritas Pennsylvania, Geisinger Health Plan, Health Partners Plans (Jefferson Health Plans), Highmark Wholecare, Keystone First, UnitedHealthcare Community Plan, UPMC for You. Jan 2025 SE-zone snapshot: Keystone First 461k (55%), Health Partners 254k (30%), United 95k (11%), UPMC 26k, Geisinger 17k (PA DHS BMCO enrollment report). Community HealthChoices (LTSS) MCOs: AmeriHealth Caritas/Keystone First CHC, Pennsylvania Health & Wellness (Centene), UPMC Community HealthChoices. Behavioral health is carved out to county-based BH-MCOs."
RI,"Rhode Island Medicaid (managed care programs: RIte Care for families/children, Rhody Health Partners for ABD adults, Medicaid expansion)",managed_care,"EOHHS awarded new MCO contracts to Neighborhood Health Plan of Rhode Island and UnitedHealthcare of New England effective July 1, 2025 (through 2030; Healthcare Dive / Ocean State Stories 2024-2025) — Tufts Health Plan (RITogether) was not renewed and exited. FY2022 split: Neighborhood >50%, UHC ~30%, Tufts ~5% of Medicaid managed care. Note: a larger $15.5B re-procurement was cancelled in Feb 2025 amid new federal requirements (Rhode Island Current) — the two-MCO structure continues. Neighborhood also runs the INTEGRITY MMP for duals."
SC,Healthy Connections,managed_care,"Five MCOs hold Healthy Connections contracts (SCDHHS, 2025): Absolute Total Care (Centene), First Choice by Select Health of South Carolina (AmeriHealth Caritas), Healthy Blue (BlueChoice HealthPlan), Humana Healthy Horizons in South Carolina, Molina Healthcare of South Carolina. Majority of members are in managed care; SCDHHS carved dually-eligible adults and nursing-facility residents into MCOs effective Jan 1, 2026 (SCDHHS managed-care carve-in), shrinking the FFS remainder. Healthy Connections Prime is the dual-eligible (MMP-successor) program."
SD,South Dakota Medicaid,ffs,Fee-for-service statewide; DSS pays providers directly. No comprehensive-risk MCOs (one of ~10 states without any; managed care <0.5% of Medicaid spend per KFF 2023). A PCP-selection/primary-care coordination program exists for some populations. Medicaid expansion took effect July 2023 but remained FFS. Providers enroll directly with SD DSS.
TN,TennCare (TennCare III demonstration),managed_care,"Fully managed care (~1.4M members). MCO contracts: BlueCare Tennessee (BCBST), UnitedHealthcare Community Plan of Tennessee, Wellpoint Tennessee (Elevance, formerly Amerigroup - rebranded Jan 2024). Plus TennCare Select (BCBST-administered PIHP for special populations: SSI children, foster care, I/DD). 2025 MCPAR shares: BlueCare ~37.7% (~552k), UHC CP ~29.9% (~439k), Wellpoint ~29.9% (~439k). Single statewide PBM (OptumRx) and dental benefits manager."
TX,"Texas Medicaid (STAR, STAR+PLUS, STAR Kids, STAR Health, CHIP)",managed_care,"Overwhelmingly managed care across 13 service delivery areas. Major MCO contract holders: Superior HealthPlan (Centene; statewide STAR Health foster-care contract + 9 SDAs), UnitedHealthcare Community Plan, Wellpoint (formerly Amerigroup), Molina Healthcare of Texas (9 SDAs), Aetna Better Health of Texas, Texas Children's Health Plan, Community Health Choice (Harris Health), Community First Health Plans, El Paso Health, Driscoll Health Plan, Cook Children's Health Plan, Parkland Community Health Plan (HEALTHfirst), Blue Cross and Blue Shield of Texas Medicaid, Scott & White/BSW (regional). Source: HHSC managed care service area map (rev. 2025-2026)."
UT,Utah Medicaid,hybrid,"Mandatory managed care via four contracted ACO plans in 13 Wasatch Front/urban counties (Box Elder, Cache, Davis, Iron, Morgan, Rich, Salt Lake, Summit, Tooele, Utah, Wasatch, Washington, Weber); voluntary ACO or FFS in remaining rural counties. ACO contract holders (2025-2026): Health Choice Utah, Healthy U (University of Utah Health Plans), Molina Healthcare of Utah, SelectHealth Community Care. Behavioral health largely carved out to county mental-health prepaid plans. Source: Utah DHHS medicaid.utah.gov managed care pages, 2025."
VA,Cardinal Care (Virginia DMAS),managed_care,"Cardinal Care Managed Care is the dominant delivery system (small FFS residual). New statewide CCMC contracts awarded Dec 2024, effective July 1, 2025: Anthem HealthKeepers Plus (Elevance; also holds the statewide Foster Care Specialty Plan), Aetna Better Health of Virginia, Sentara Community Plan / Sentara Health Plans (formerly Optima), UnitedHealthcare of the Mid-Atlantic (UnitedHealthcare Community Plan), and new entrant Humana Healthy Horizons in Virginia. Molina Complete Care exited CCMC June 30, 2025; its members defaulted to Humana. Sources: DMAS bulletins 2025."
VT,Vermont Medicaid / Green Mountain Care (Global Commitment to Health 1115 waiver),hybrid,"Public managed-care-like model: the Department of Vermont Health Access (DVHA) is the nation's only public Medicaid managed-care entity, operating under an intergovernmental agreement with the Agency of Human Services (waiver approved through Dec 31, 2027; ~152k covered). NO commercial MCOs hold contracts. Long-term services and supports run FFS via Choices for Care. Providers enroll with Vermont Medicaid directly (fiscal agent processes claims)."
WA,Washington Apple Health (Health Care Authority),managed_care,"Most Apple Health clients are in integrated managed care. Five contracted MCOs (confirmed via HCA, 2025): Molina Healthcare of Washington, Coordinated Care of Washington (Centene), Community Health Plan of Washington (local non-profit), UnitedHealthcare Community Plan, and Wellpoint Washington (Elevance; formerly Amerigroup Washington). Molina is the largest Apple Health plan by enrollment."
WI,BadgerCare Plus (plus Medicaid SSI managed care and Family Care/Partnership LTSS programs; Wisconsin DHS),managed_care,"Mandatory regional HMO enrollment for most BadgerCare Plus / Medicaid SSI members; FFS residual for some populations - effectively managed-care dominant (hybrid at the edges). Contracted BadgerCare Plus HMOs per WI DHS (2024-2026): Anthem BCBS (Compcare), Chorus Community Health Plans (Children's Wisconsin), Dean Health Plan, Group Health Cooperative of Eau Claire, Group Health Cooperative of South Central WI, iCare/Independent Care Health Plan (Humana), MercyCare, MHS Health Wisconsin (Centene), Molina Healthcare of Wisconsin, Network Health, Quartz, UnitedHealthcare Community Plan. Molina also runs My Choice Wisconsin (acquired 2023) in Family Care/SSI LTSS."
WV,Mountain Health Trust (WV Bureau for Medical Services); WVCHIP folded into the same MCO enrollment process,managed_care,"Four contracted MCOs (confirmed via BMS, 2025-2026): Aetna Better Health of West Virginia, The Health Plan, Wellpoint West Virginia (formerly UniCare Health Plan of WV), and Highmark Health Options West Virginia (new entrant, coverage effective Aug 1, 2024). ~486k unique members served through the four MCOs in CY2025 per BMS. Automatic MCO enrollment for Medicaid + WVCHIP began July 1, 2025."
WY,Wyoming Medicaid (Wyoming Department of Health),ffs,"Fee-for-service only - Wyoming contracts with NO Medicaid MCOs (confirmed via Medicaid.gov state profile and WY DOH, 2024-2026). The only managed-care-adjacent arrangement is a Care Management Entity coordinating care for youth with complex behavioral health needs. Providers enroll directly with Wyoming Medicaid (fiscal agent portal wyomingmedicaid.com)."
